Post Type,Quarter,Content,Hashtags,Accounts Reached,Accounts Engaged,Impressions,Impressions From Home,Impressions From Profile,Impressions From Hashtags,Impressions From Location,Impressions From Reel,Impressions From Explore,Impressions From Other,Interactions,Likes,Saves,Comments,Shares,Profile Visits,External Link Taps,Follows,Business Address Taps
Meeting Recap,Spring 2022,"Guest Speaker - Scott Juniper, Head Coach, UCI Women's Soccer",#SBAUCI #SportsBusiness #UCI #UCIrvine #ScottJuniper #Soccer #Futbol #UCIWomensSoccer,321,32,438,214,176,18,0,0,0,25,34,32,0,0,2,8,0,0,0
Meeting Recap,Spring 2022,"Guest Speaker - Scott Juniper, Head Coach, UCI Women's Soccer",#SBAUCI #SportsBusiness #UCI #UCIrvine #ScottJuniper #Soccer #Futbol #UCIWomensSoccer,336,18,452,143,273,16,0,0,0,20,26,18,8,0,0,9,0,2,0
Meeting Promotion,Spring 2022,Guest Speaker - Alumni Roundtable,#SBAUCI #SportsBusiness #UCI #UCIrvine #AdamDo #LAClippers #BrandonHino #Ballislife #ShawnDeluz #Innopiphany #JanessaParedes #Pickup #PriyankiPabari #Deloitte #SamuelShin #AguaCalienteClippers #ChrisTusler #HydroFlow #JuanRamirez #TauroCapitalAdvisors #KatrinaKrzywicki #Paciolan,580,39,750,200,274,74,0,0,0,187,89,36,1,2,50,88,0,2,0
Meeting Recap,Spring 2022,Guest Speaker - Alumni Roundtable,#SBAUCI #SportsBusiness #UCI #UCIrvine #AdamDo #LAClippers #BrandonHino #Ballislife #ShawnDeluz #Innopiphany #JanessaParedes #Pickup #PriyankiPabari #Deloitte #SamuelShin #AguaCalienteClippers #ChrisTusler #HydroFlow #JuanRamirez #TauroCapitalAdvisors #KatrinaKrzywicki #Paciolan,400,26,547,152,367,16,0,0,0,4,29,26,0,1,2,10,0,0,0
Announcement,Spring 2022,Executive Board Introduction,#SBAUCI #UCI #UCIrvine #SportsBusiness #Interns,1503,57,2279,244,1580,34,0,0,0,420,82,50,2,5,25,258,0,0,0
Meeting Promotion,Spring 2022,"Guest Speaker - Georgia Kasperowicz, Performance Data Analyst, LAFC",#SBAUCI #SportsBusiness #UCI #UCIrvine #GeorgiaKasperowicz #LAFC #DataAnalytics #Soccer,386,27,530,126,292,41,0,0,0,63,55,22,0,2,31,31,0,0,0
Meeting Promotion,Spring 2022,"Guest Speaker - Georgia Kasperowicz, Performance Data Analyst, LAFC",#SBAUCI #SportsBusiness #UCI #UCIrvine #GeorgiaKasperowicz #Soccer #ESPN #UConn #DataAnalyst,322,18,396,133,196,67,0,0,0,0,19,18,1,0,0,10,1,0,0
Meeting Recap,Spring 2022,"Guest Speaker - Georgia Kasperowicz, Performance Data Analyst, LAFC",#SBACI #SportsBusiness #UCI #UCIrvine #Soccer #GeorgiaKasperowicz #ESPN #UConn #Dataanalyst #LAFC,450,38,532,170,199,70,0,0,0,74,43,37,0,2,4,9,0,0,0
Meeting Recap,Spring 2022,"Guest Speaker - Georgia Kasperowicz, Performance Data Analyst, LAFC",#SBAUCI #SportsBusiness #UCI #UCIrvine #GeorgiaKasperowicz #LAFC #DataAnalytics #Soccer,316,18,416,137,256,21,0,0,0,1,18,18,0,0,0,7,0,0,0
Event Promotion,Spring 2022,Facility Tour - Dodger Stadium,#SBAUCI #SportsBusiness #UCI #UCIrvine #LADodgers #UCISBAxLADodgers #FacilityTour,609,58,788,188,286,21,0,0,0,291,97,46,3,0,48,78,0,6,0
Event Recap,Spring 2022,Facility Tour - Dodger Stadium,#SBAUCI #SportsBusiness #UCI #UCIrvine #FacilityTour #DodgerStadium #LADodgers #WorldSeriesChamps,485,59,608,217,220,59,0,0,0,86,76,56,0,6,14,32,0,0,0
Announcement,Spring 2022,No Meeting,,273,20,370,131,238,0,0,0,0,1,19,19,0,0,0,1,0,0,0
Meeting Promotion,Spring 2022,"Guest Speaker - Michael Duarte, Sports Writer and Reporter, NBCLA",#SBAUCI #SportsBusiness #UCI #NBCLA #SportsJournalism #SportsWriting,353,30,442,146,219,27,0,0,0,41,62,27,2,1,32,21,0,0,0
Meeting Recap,Spring 2022,"Guest Speaker - Michael Duarte, Sports Writer and Reporter, NBCLA",#SBAUCI #SportsBusiness #UCI #UCIrvine #SportsJournalism #SportsWriting #NBCLA,451,40,561,205,256,61,0,0,0,23,42,39,1,0,2,14,0,0,0
Meeting Promotion,Spring 2022,"Guest Speaker - Scott Minto, Director of MBA Program, San Diego State University",#SBAUCI #SportsBusiness #UCI #SDSU #MBA #CareerExploration #BusinessSchool,336,21,414,136,249,3,0,0,0,25,46,20,0,0,26,9,0,0,0
Meeting Recap,Spring 2022,"Guest Speaker - Scott Minto, Director of MBA Program, San Diego State University",#SBAUCI #SportsBusiness #UCI #SDSU #MBA #CareerExploration #BusinessSchool,407,27,533,219,297,0,0,0,0,13,26,0,0,0,4,0,0,0,0
Meeting Promotion,Spring 2022,Guest Speaker - HR in Sports Panel,#SBA #SportsBusiness #HumanResources #HR #HRMA #UCI #UCIrvine #Business #HRinSports,878,60,1181,384,640,44,0,0,0,100,104,49,5,5,46,12,0,4,0
Meeting Recap,Spring 2022,Guest Speaker - HR in Sports Panel,#SBA #SportsBusiness #HumanResources #HR #HRMA #UCI #UCIrvine #Business #HRinSports,803,40,1121,430,618,18,0,0,0,42,42,39,0,1,2,6,0,0,0
Event Promotion,Spring 2022,Social - Dave & Busters,,475,22,633,146,425,0,6,0,0,56,45,18,1,0,26,28,0,0,0
Event Recap,Spring 2022,Social - Dave & Busters,#SBA #UCI #SBAUCI,534,42,664,217,394,0,12,0,0,38,47,40,0,2,5,14,0,0,0
Announcement,Spring 2022,No Meeting,#SBA #UCI #SBAUCI,531,15,722,136,579,0,7,0,0,0,15,15,0,0,0,4,0,0,0
Announcement,Spring 2022,Graduation Class,#SBAUCI #UCI #UCIrvine #SportsBusiness #UCIAlumni #GraduateSpotlight #Classof2022 #ZOTZOTZOT,918,71,1352,228,689,31,0,0,0,381,128,65,0,15,48,104,0,1,0
Meeting Promotion,Fall 2022,"Guest Speaker - Mark Deppe, Director of UCI eSports",#SBA #SBAUCI #UCI #SportsBusiness #esports,422,35,653,275,298,7,0,0,0,68,56,32,0,1,23,36,3,2,0
Meeting Recap,Fall 2022,"Guest Speaker - Mark Deppe, Director of UCI eSports",,453,57,724,398,286,0,0,0,2,38,72,57,1,6,8,30,0,0,0
Meeting Promotion,Fall 2022,Guest Speaker - Alumni Roundtable,#SBA #SBAUCI #UCI #SportsBusiness #Alumni #BrandonHino #PartnershipMarketing #LARams #SamuelShin #BasketballOperations #UCIMen #HenryCuri #Newswriter #ABC7LA,600,54,889,289,377,105,0,0,0,111,81,52,0,3,26,47,1,4,0
Fundraiser Promotion,Fall 2022,Fundraiser - Chipotle,#SBA #SBAUCI #UCI #SportsBusiness,377,24,540,256,246,9,0,0,0,29,36,23,1,2,10,22,0,0,0
